probs	phenotype	ids
4.138672331304	4.49259890434367	syn10000
2.51806303209224	2.65662839809988	syn10001
3.66306726417795	3.74806538494047	syn10003
4.57495135045017	3.42682669152693	syn10007
3.57937032424586	3.96972182889635	syn1001
3.36422748455008	3.50970163811707	syn10015
3.52049093371964	3.12489450115027	syn10017
2.71932863187534	3.48091232771457	syn10019
2.69938168216944	3.18006776137165	syn10020
4.28555291733377	4.0310374697915	syn10021
2.94332728095753	2.73999219358379	syn10024
3.23014078924038	2.86273629042099	syn10029
3.49990076741214	3.33222602496055	syn10033
3.57799797474921	3.18103963996637	syn10036
3.68458683375809	3.40199970535331	syn1004
2.80777830038202	2.86076316985234	syn10040
2.80974181426973	1.1328817438989	syn10041
3.47534357954583	2.77345108204206	syn10042
3.72672008357868	5.64307581884976	syn10045
2.93105672597581	3.3091326347368	syn10049
3.87730863595731	3.3119639826672	syn10050
3.39311967697709	3.12658796602021	syn10058
3.40077506994065	4.52067456525006	syn10062
3.66139254962049	2.39662115628317	syn10064
2.33420789186387	0.788805059385691	syn10068
3.85338923840038	3.79449093913034	syn1009
3.09201190817595	2.40070178303407	syn10095
3.17327887406338	3.88698660568314	syn10099
3.37542051857899	4.6468026773488	syn1010
3.0433962488929	3.01982347060379	syn10100
4.01441154584499	4.17298980563166	syn10109
3.36352035828458	4.57789025307376	syn10111
3.76201781299508	2.94012774244006	syn10113
3.06376052066511	3.16013023787115	syn10114
3.15207664209108	3.49554674543049	syn10115
3.10566355501401	3.32574526089646	syn10117
3.55063870987373	3.33583962452298	syn10122
3.47140770892382	1.89617724034165	syn10129
3.68745683990687	3.01850808165667	syn10131
3.30853985920378	3.12479190395553	syn10134
3.56706459885161	4.86810495795817	syn10136
3.43449565757262	2.00283204373099	syn10138
3.00323696359689	2.67567391212523	syn10143
4.75221324417318	4.62560389706089	syn10144
3.84918084732476	3.76612154653246	syn10152
4.30285284130629	4.47888215134989	syn10154
3.59035504894574	2.61088169103381	syn10157
2.94111636833944	4.05093733657073	syn10165
3.50586848300906	3.01800926289005	syn10166
3.6588536477839	3.43019272642829	syn10168
4.12045013862823	4.70939763982429	syn10179
3.90090325987632	4.02501561118018	syn10181
2.97269387200604	2.55093259407504	syn10184
4.86968021128855	5.71857250090384	syn10185
2.65169904368718	0.596894052009369	syn1019
2.53351952401408	2.85176321320547	syn10190
3.13613570285845	4.04006069171475	syn10191
3.13988416542516	3.69956690105111	syn102
2.46937261056085	2.15607544745417	syn10201
3.47012469227498	3.51159873685997	syn10205
3.43925371195252	3.14672110304535	syn10214
3.95437705848463	3.89292317056599	syn10215
3.28824713409933	2.87565718791952	syn10218
4.1093525671476	5.51423466997223	syn1022
3.13837716349199	2.6078678593015	syn10229
3.58836008266054	4.34454909431791	syn1023
3.47360324704729	3.39779077010723	syn10233
4.05197344593273	5.49466841733922	syn10236
3.40128303118437	3.10413932657106	syn10239
3.78177323468307	2.69986398835656	syn10240
3.25977919733424	2.03355077407574	syn10241
3.5202458461878	5.79173504494075	syn10246
3.23222338009621	2.74636479212835	syn10248
4.09123960372444	2.52522263826956	syn10251
4.02850583744638	4.93062493726526	syn10256
3.50565454641402	3.20785166520164	syn10258
3.14357776214833	1.9081676356559	syn10262
3.40929997598867	4.04711062655907	syn10265
3.38669766013728	4.08795132499248	syn1027
3.60010880920731	3.38210777441367	syn10272
4.21074414356761	3.79139094031466	syn10275
3.64146991774268	2.3589244841865	syn10283
3.17864768777847	4.84078011302248	syn10284
2.47998181574187	2.87219621809427	syn10290
3.27809082334471	2.5472446227939	syn10293
3.40121821713844	2.68789279991978	syn10295
3.63751847165227	5.59453745213942	syn10299
3.80820078508736	3.5822672052899	syn10302
3.02420656841206	2.33578866727929	syn10304
3.4087627730591	2.59323144361394	syn10312
3.50556621843514	3.72374076085297	syn10313
3.38637409234206	3.23382784206373	syn10316
3.88023471379234	3.35068464514603	syn10319
3.77293581439806	3.31866690246802	syn1032
3.47604548049289	4.70128440086323	syn10320
3.52245153348746	3.50219445297358	syn10321
3.12612268641314	3.21920933035808	syn10328
3.56649272794398	3.3147361120611	syn10337
3.04947761516571	2.59602288552664	syn10343
3.57791778620865	2.79288781601223	syn1035
3.19295581548799	2.87531293258983	syn10351
3.87954396689039	3.1614706785805	syn10361
3.06446784790439	3.8096280791607	syn10368
2.70858266403305	1.73734658708804	syn10369
3.78901130558031	3.66860910961072	syn1037
3.02751047696448	3.57675371468572	syn10371
3.65918967595383	3.42404014063081	syn10373
3.53421814670118	2.56310691998974	syn10411
3.64030045128284	4.77545186760411	syn10416
2.79684341718102	3.47066929453039	syn10418
2.90987629965928	2.27158217243414	syn10424
3.66731162956123	4.16362978724898	syn10427
2.90413096155641	4.97132146550166	syn10429
3.51499600895393	6.03193937788204	syn10436
3.52828238593622	3.21521925429377	syn1044
3.42394433284191	3.10810610018304	syn10450
4.5861454898349	4.79834227533381	syn10451
3.27258152895331	3.8634030805833	syn10468
4.2873174671735	3.83541449554255	syn10469
4.59610384141046	4.24620840580242	syn10482
2.61410820337428	3.06321706105831	syn10486
2.89794006457031	3.52225461067633	syn10487
3.96861695559386	4.33727309762711	syn1049
3.75973917221115	3.36472561101526	syn10492
3.6260777374323	3.13151858185502	syn10493
2.71088391436788	2.19225444645479	syn10495
3.98865223327864	4.33967872730287	syn10498
2.86393318978041	1.81171447017407	syn10501
3.92106072962289	4.07618283470377	syn10503
3.07200959019205	1.08401895482537	syn10510
3.43612123403943	2.8979748342102	syn10514
3.13229820890462	3.11341054212507	syn10515
3.21992107125632	3.55332708167201	syn10517
3.46775380452335	4.30260035457542	syn1052
3.43685237667234	2.29249118228546	syn10521
