probs	phenotype	ids
4.25383281764461	3.89202600580857	syn10000
2.63933578951085	1.45743236819291	syn10001
3.84301789327556	4.11422880878456	syn10003
4.74336688119339	5.74416376735334	syn10007
3.72900771442572	2.03414206486624	syn1001
3.49145302498219	4.73822029078365	syn10015
3.64183078472479	4.22373325196206	syn10017
2.94783989762206	4.26005645162685	syn10019
2.86036475158538	2.24981124992864	syn10020
4.45825705464531	5.43598897043043	syn10021
3.0500753698189	2.11138474583613	syn10024
3.38700848071673	2.70836425053241	syn10029
3.6412722709516	3.64288378858312	syn10033
3.7015628255471	4.4635219487502	syn10036
3.83038625901935	3.57171082318199	syn1004
3.06360945410574	2.33401589843905	syn10040
2.93586670923566	2.47076378785844	syn10041
3.63339284237695	2.62329605095268	syn10042
3.87398124118046	3.15471257196006	syn10045
3.09117550571415	3.11292593516925	syn10049
4.05387669082945	4.8434521273336	syn10050
3.62605928794273	4.28085107242547	syn10058
3.59812125589167	4.73991760887357	syn10062
3.79762808326057	3.87849775763944	syn10064
2.48576721372277	2.70919669360132	syn10068
3.91693150332298	4.48871093194416	syn1009
3.23498184137993	1.25369734652515	syn10095
3.35256321022404	2.73430236544081	syn10099
3.57104953242128	2.75140740447332	syn1010
3.17657893694149	3.00787154120035	syn10100
4.141196507629	3.6140352136818	syn10109
3.61065197057996	4.52281135622175	syn10111
3.92032504722849	2.87222514890064	syn10113
3.2780897039436	3.35720865612258	syn10114
3.24861793145314	3.71699544737126	syn10115
3.23260697287829	2.32685073721898	syn10117
3.66245965288299	3.65576907529423	syn10122
3.58818373961177	3.05667452729689	syn10129
3.8655025162675	4.61634264139413	syn10131
3.43337371489219	2.62978018548199	syn10134
3.78803134332991	5.31366323575628	syn10136
3.63228430708384	3.15900818348101	syn10138
3.15540370090722	2.441111497558	syn10143
4.80235160372795	4.70765833077349	syn10144
4.03378095843177	4.42190503662277	syn10152
4.39805882861733	5.98117464287391	syn10154
3.66965664003498	4.03577650391653	syn10157
3.14019585274916	4.02872237492348	syn10165
3.68591575015015	4.20291192172221	syn10166
3.79793015073444	3.46534163515627	syn10168
4.33476715121509	4.32835045901866	syn10179
4.12014263181878	5.19374161604934	syn10181
3.15489396821677	3.74200475759279	syn10184
5.13892725001139	6.10462607036241	syn10185
2.85811845184835	1.52457347718862	syn1019
2.71415530573847	2.28382446539841	syn10190
3.25145710896496	4.58338890405095	syn10191
3.30163368615739	4.2736604537101	syn102
2.62001541958613	2.9279733146007	syn10201
3.64190573379726	2.45552406556381	syn10205
3.57828631466708	4.52168490769541	syn10214
4.13154782670741	3.43754180056164	syn10215
3.51355707653108	3.18008531390803	syn10218
4.34678250462645	3.59078421906909	syn1022
3.51216168082228	2.6461534944099	syn10229
3.74474632841315	4.2321366563792	syn1023
3.57484497715014	3.88155390676923	syn10233
4.22020932077647	3.75256967235495	syn10236
3.47552955636545	2.85836957670359	syn10239
3.90731758139151	4.02552898649348	syn10240
3.45142794910264	1.21107122292807	syn10241
3.65917581704007	2.39851308007533	syn10246
3.35038297231768	3.26579778183646	syn10248
4.28424742774228	4.38191002623063	syn10251
4.19573523933536	4.12536531211565	syn10256
3.63434446847884	4.98797664110507	syn10258
3.3598202356317	2.07368622341659	syn10262
3.62949529311459	2.30483663900102	syn10265
3.58115659752518	3.62292983980915	syn1027
3.75261232737797	3.38606633368638	syn10272
4.3757278561613	5.21270006847338	syn10275
3.80566126111825	5.05849303594574	syn10283
3.33409700298287	2.91163762580463	syn10284
2.65648964738042	2.70829614881854	syn10290
3.47671629938635	2.96327856606658	syn10293
3.5974021792834	2.77704797495761	syn10295
3.79109645427756	3.64798816282804	syn10299
3.99155293280572	5.19201473544259	syn10302
3.15238539609969	3.72776515036736	syn10304
3.68682935860659	2.30497377998458	syn10312
3.68452598302782	3.0058967349294	syn10313
3.55282199699584	2.99028022903484	syn10316
4.02858202072935	5.58307321541256	syn10319
3.91143810167578	4.683136112551	syn1032
3.61780659521273	4.1843356069138	syn10320
3.74986241727262	3.28515136126663	syn10321
3.28040670662645	3.86357728102809	syn10328
3.79359278175039	4.71774593505507	syn10337
3.25544886299035	1.51601624123692	syn10343
3.76026177388441	3.9925022435627	syn1035
3.36268824730579	3.96271815705599	syn10351
3.98024707753093	4.60274033097895	syn10361
3.27475363086835	2.30500932456366	syn10368
2.85187526323513	1.41284383450514	syn10369
3.94151045421726	3.22272215545456	syn1037
3.12585757182709	3.67841652933524	syn10371
3.838976271949	2.29309085044874	syn10373
3.68225618147361	4.15322275571896	syn10411
3.88600953046599	4.55056766142472	syn10416
2.99077327400517	3.04495512451826	syn10418
3.00413859944505	1.32026781049539	syn10424
3.84152355294145	4.94597699007982	syn10427
3.0326392926488	3.95183415441359	syn10429
3.65637801457616	4.77916925517838	syn10436
3.73645937042868	2.38847351249863	syn1044
3.6495869768799	4.95075395604678	syn10450
4.6679704842262	3.88267701554411	syn10451
3.42383059465369	3.93302409250112	syn10468
4.4473932902762	4.79068031197734	syn10469
4.69295577956474	3.91602218920281	syn10482
2.79503483465123	2.66090634271091	syn10486
3.00702487933838	3.20200394456221	syn10487
4.07588130401738	5.27322394622028	syn1049
3.99883760741008	5.55358654545718	syn10492
3.75681085789577	2.23655350936131	syn10493
2.87173577996666	2.69948519489177	syn10495
4.06815680969134	4.81325759055171	syn10498
3.00661211633061	4.10811164285967	syn10501
4.11970449079833	4.34008081563872	syn10503
3.29083776106731	4.16977577949697	syn10510
3.60478441605323	3.67295185260318	syn10514
3.27569508601574	3.25607345111326	syn10515
3.31970608983995	2.15227064869068	syn10517
3.62523544062841	2.30391710552239	syn1052
3.60795015032742	2.84172171919953	syn10521
3.44357725594313	4.0288955475506	syn10523
3.50180290928134	3.13584277911156	syn10526
3.68134602916676	3.8331245186098	syn10527
3.72351618897401	3.86393231593905	syn10528
3.88292338637942	3.93842326990583	syn10529
3.0583728937464	2.90046100664195	syn10537
4.46029796034976	4.17275282689874	syn10539
3.09300341385693	3.48950957825461	syn1054
3.89892496397682	2.40217953918146	syn10540
4.0009906898554	4.1552400436858	syn10544
2.85946190656623	3.35537644476899	syn10549
3.66012467822229	3.64578981444613	syn10553
3.80600727106544	3.97233887671654	syn1056
3.51101216546977	3.67864403701479	syn10565
4.18442148429008	6.23225708327123	syn1057
3.46263308230377	2.6820304292869	syn10571
3.96728582535128	4.35580540593015	syn10572
3.64536010593549	3.52054700329387	syn10582
3.79019439923546	3.55989889673273	syn10584
2.60487847186816	2.62690845309862	syn1059
3.18645078637925	2.38911175165358	syn10599
3.45954595074589	3.41389958310627	syn10604
3.84343006380055	1.99113169863872	syn10606
3.41513037992579	3.63164047091278	syn10607
3.30608342937656	2.38544540543467	syn10609
3.73775127914415	1.0968446558786	syn1062
4.00680946329939	4.6489729772682	syn10620
3.73024254729944	3.65597243791797	syn10623
3.66721037735759	3.84342215157764	syn10624
3.13841939186165	2.4573246154283	syn10633
3.42503530965245	3.51020276070022	syn10636
3.7772394668722	3.27698136699988	syn10641
3.60103528372882	3.3017045736439	syn10642
3.53668967819694	5.4299991961663	syn10643
3.5329229688832	1.70311337500624	syn10650
3.60493431419816	4.43428488067485	syn10653
3.57831248265681	3.32056762695678	syn10656
3.8931423319828	2.55757009763822	syn10660
3.66079230757529	2.91640183981485	syn10663
3.91023388041268	3.96819480974467	syn10670
3.6741332424738	2.52844179383105	syn10677
3.30757895467625	2.76090896186153	syn10681
3.09166647644971	1.78655022720976	syn10683
3.9708533617017	1.8753468085347	syn10688
3.92627001950595	3.5536848180735	syn10690
3.58838982487426	3.30575232966493	syn10691
4.22308305978416	5.04891656298236	syn10692
4.50187563737074	3.6176422741391	syn10697
3.34682116330087	2.42779444475928	syn10699
3.75753388438928	3.60815875452943	syn10727
3.63143340305562	4.22798619612683	syn10729
3.16871609788486	2.61624173232973	syn10735
4.14844039966824	3.47095721881651	syn10738
3.82297410186881	5.27396582257305	syn10740
3.27162897540068	4.3722454761187	syn10741
2.84875317519286	3.91449025300034	syn10743
3.47130861024891	4.02732482939081	syn10746
3.88213202687122	3.31776653332634	syn10748
4.64282314484562	4.46471801887351	syn1075
3.97613939437369	3.66149138761501	syn10755
2.93759982013264	2.5462418143959	syn10758
3.54017476069293	3.20772219920736	syn10775
4.09585488621396	3.40010719708279	syn10777
3.19419463514297	2.9664857150206	syn10786
4.435262007733	4.41709233490347	syn10787
3.58329328794674	3.08431886786889	syn10788
3.47416190860047	2.82213097411268	syn10790
3.62152807834044	3.77945733422404	syn10793
4.25988769547892	3.78013005260422	syn10794
3.13954649161541	3.5970758466889	syn10796
3.46182059090953	2.50021439579223	syn1080
3.24349098040926	2.94377750267088	syn10802
4.3444814002317	4.24968464403138	syn10803
3.16884140799416	3.02955158489174	syn10809
4.28930742823132	3.54967549249495	syn10810
4.37994761731227	4.65521226101278	syn10811
3.80614719575013	3.72666263363839	syn10814
3.78076552942758	5.03170610619501	syn10816
3.99744063174718	4.45944111998737	syn10817
3.7491050267775	4.54385475686242	syn10819
3.80517542523351	2.01890690108671	syn10820
3.80869783414503	3.87767549459459	syn10821
2.9208401608102	3.60720253643627	syn10823
3.75407546361867	3.64663443463513	syn10839
3.30118172053859	4.15514583691409	syn1084
3.14562931488781	3.59570317507808	syn10845
3.53716840428825	4.41295926409896	syn10862
3.67866277337486	5.90429826158171	syn10863
4.38530524165428	4.48958540372459	syn10865
3.44476083905584	3.53479223702177	syn10872
3.79752982986518	4.30412986045806	syn10875
2.93870697296592	1.24799619022233	syn10877
2.61529086310126	2.08683494801237	syn1088
3.01151757755955	2.14268330190186	syn10881
3.88052521355485	3.93457849053002	syn10891
3.98126802411881	4.02880730808968	syn10892
3.78318404416114	2.31789350411346	syn10894
3.83377822297076	3.42392387611364	syn10906
3.25388855957269	4.23376450080418	syn10907
3.44241618717629	5.25680661756025	syn10908
3.71793381616175	4.96195888579744	syn1091
3.82917700165257	4.63306022727393	syn10913
3.40749505425909	2.86414842874591	syn10917
3.60986396847421	3.28297787940238	syn1092
3.8324860180139	3.72813486401807	syn10922
3.34301880627283	3.43022373490096	syn10926
2.62770327872655	1.83999949283297	syn10928
2.9300639328269	1.95238402688011	syn10933
3.08387058794792	2.79369960687947	syn10935
3.76284973869486	3.37251632719712	syn10940
3.55748049165005	2.75747069091134	syn10947
3.79782123264889	2.79450850846744	syn10948
2.47890962046018	1.86077032587775	syn10953
3.8318889928596	2.38975028445553	syn10954
3.51094985603008	4.35253110362357	syn10958
3.10087148651151	1.20196299908332	syn10960
3.23017167113244	3.92749596090302	syn10971
4.03185351318089	3.96209547328044	syn10977
3.50622885444193	3.50789358570893	syn10979
3.6447640682525	4.15763065479971	syn1098
4.24919683733628	4.34308735171508	syn10981
3.9457123421375	3.69450899486789	syn10984
4.00501068556026	5.8763102662548	syn10988
3.60025291020955	4.22988089864886	syn10996
3.99589997900861	4.15665148269307	syn11000
3.56676212948554	5.5118974240849	syn11005
3.50775479385798	3.80052567556524	syn11008
4.6675534750918	4.61220148209108	syn11012
3.22808958787435	4.57382446784583	syn11015
3.69820848425262	3.7433594835121	syn11019
3.55922071234046	3.22738477704194	syn11041
4.75144459400718	3.57066268636641	syn11047
3.60885497028919	3.21606396243198	syn11049
4.02086641364511	4.49441236593622	syn11054
4.68092966271609	5.96889350806667	syn11058
4.02180480763144	3.0471423020997	syn11059
3.36544576094024	3.92758500942433	syn11061
3.17991777493641	2.57714028964452	syn11063
4.27764025720403	4.9029995400453	syn11064
3.52919407972066	2.69286123366861	syn11070
3.99125688890685	3.79442737855051	syn11072
3.22978260743612	1.67884391821025	syn11075
3.26745365045868	3.07265329923681	syn11076
4.01183500103969	4.8550717223716	syn11079
3.51576782730093	2.24727040395598	syn11097
3.60529000136418	3.64194962130248	syn11107
4.3674392194756	4.94090548503689	syn11110
3.61644358856291	3.5056545309416	syn11116
3.18747272043844	2.2227951114193	syn11122
3.44502666633261	3.1512346340457	syn11130
4.02197939255912	3.6071536748899	syn11131
3.91220309569999	3.31764405357705	syn11133
3.90818991354717	4.8517627971042	syn11140
3.70454311270919	2.37732986037287	syn11144
4.08082577036309	4.41960323728812	syn11146
3.81228205876059	4.54392899913357	syn11156
4.28563600989905	4.40258616464254	syn11170
3.95352946127246	3.12835546115229	syn11174
3.27416855411691	1.35244223584414	syn1118
2.76285442835619	3.19712292786803	syn11182
3.76405109629116	3.91119437039671	syn11188
4.06034314670597	5.69393275624715	syn11189
4.61107238731777	3.96220710693122	syn11192
4.18206952512284	4.11747065696989	syn11196
4.31079411271691	4.66587463967509	syn112
3.21973251942683	3.04895783892979	syn1120
3.35956773921762	1.14339940180543	syn11208
3.07818956675174	2.47323535339513	syn11210
3.22435388515976	2.31240032751629	syn11212
4.13031506752344	3.9347585510167	syn11218
3.11386325155464	2.93322622512114	syn11231
3.03220441028368	2.37993266182764	syn11232
3.25943864207311	3.6582231812716	syn11251
3.22156872232862	1.92736852129425	syn11257
3.60185014505421	4.33147105452516	syn11260
3.70016051753913	4.88987781108989	syn11268
3.73646470277375	4.80002863426282	syn11270
3.19563219587673	4.38191057350872	syn11273
4.23409217993016	2.76976830997251	syn11275
3.37327068109855	2.85755279128659	syn11276
3.71097668579107	3.13742129065892	syn11281
3.08812086196239	1.51013595616542	syn11282
3.53060152257946	3.84390539437702	syn11283
2.96679865555288	3.43752125578406	syn11284
3.65088007056094	3.36662135148322	syn11286
3.5444689771807	3.5962407462081	syn11294
3.13572162024149	3.15227434081561	syn11295
3.3125617349088	3.04852704143219	syn11301
3.4477362876085	4.61052956714546	syn11306
3.60726612895067	2.72767385853758	syn11308
4.04938270889557	5.53087650646041	syn1131
4.3725671579908	3.5952675666047	syn11310
3.52135958109064	2.99194894255902	syn11312
3.5450574113346	1.98917953412515	syn11313
3.07965329547523	1.64215541045232	syn11317
3.1204573874716	3.64916734039255	syn11318
3.69186496855425	4.99335261673279	syn11327
2.80311353493633	1.65466740744075	syn11328
2.98969821398947	4.12048799111019	syn11329
4.15650981772302	3.64240570011069	syn11332
3.93535327435517	4.52699900865658	syn11334
3.62776198472334	3.45357910483062	syn11341
2.89850948459556	2.91077641879726	syn11343
3.2623454613697	2.35646482733224	syn11346
3.42355568264086	2.45453647480224	syn11353
4.34166858820387	4.44389683790724	syn11354
3.4092858334806	4.31980380946449	syn11361
2.92424249321037	1.43952418485411	syn11363
3.41598049397696	2.88949580795591	syn11369
3.33347736473556	3.31170815171254	syn11372
